Product,Strength
Co  - Linipril,"20 mg/12,5 mg tablets"
Co  - Olimestra,"40 mg/12,5 mg film -  coated tablets"
Co  - Olimestra,40 mg/25 mg film -  coated tablets
Co  - Olimestra,20 mg/25 mg film -  coated tablets
Co  - Olimestra,"20 mg/12,5 mg film -  coated tablets"
Co  - Paxene,"2 mg/0,625 mg tablets"
Co  - Paxene,"4 mg/1,25 mg tablets"
Co  - Prenessa,"2 mg/0,625 mg tablets"
Co  - Prenessa,"4 mg/1,25 mg tablets"
Co  - Prenessa,"8 mg/2,5 mg tablets"
Co  - Renapril,20 mg/6 mg tablets
Co  - Renapril,"20 mg/12,5 mg tablets"
Co - Sartoval,"80 mg/12,5 mg film -  coated tablets"
Co - Sartoval,160 mg/25 mg film -  coated tablets
Co  - Telsart,"40 mg/12,5 mg tablets"
Co  - Telsart,"80 mg/12,5 mg tablets"
Co  - Telsart,80 mg/25 mg tablets
Co  - Valsacor,160 mg/25 mg film -  coated tablets
Co  - Valsacor,"80 mg/12,5 mg film -  coated tablets"
Co  - Valsacor,160 mg/25 mg film -  coated tablets
Co  - Valsacor,"80 mg/12,5 mg film -  coated tablets"
Co  - Valsacor,"320 mg/12,5 mg film -  coated tablets"
Co  - Valsacor,320 mg/25 mg film -  coated tablets
Co  - Valstor,160 mg/25 mg film -  coated tablets
Co  - Valstor,"160 mg/12,5 mg film -  coated tablets"
Co  -Valsacor,"160 mg/12,5 mg film -  coated tablets"
Co  -Valsacor,"320 mg/12,5 mg film -  coated tablets"
Co-Amlessa,"2 mg/5 mg/0,625 mg tab"
Co-Amlessa,"4 mg/10 mg/1,25 mg  tablets"
Co-Amlessa,"4 mg/5 mg/1,25 mg  tablets"
Co-Amlessa,"8 mg/10 mg/2,5 mg  tablets"
Co-Amlessa,"8 mg/5 mg/2,5 mg tablets"
Cocandesargen,"16 mg/12,5 mg tablets"
Cocculine,tablets
Co-Codamol,500/30 mg film - coated tablets
Co-Codamol,1000/60 mg film - coated  tablets
Coda  Balloon Catheter,therapeutic catheter
Co-Diova,"tabl. film 80/12,5 mg x  28"
Co-Diovan,"160 mg/12,5 mg film - coated  tablets"
Co-Diovan,160 mg/25 mg film - coated  tablets
Co-Diroton,"10 mg /12,5 mg tablets"
Co-Diroton,"20 mg /12,5 mg tablets"
Codterpin,tabl. x 10
Coffeinum  -Natrio Benzoicum,sol. inj. 200 mg/ml - 1  ml x 10; x 100
Coffergamin,1 mg/100 mg film -  coated tablets
Cofiperla,"0,075 mg/0,030 mg  tablets"
Cognezil,5mg film - coated  tablets
Cognezil,10 mg film - coated  tablets
Cognezil  ODT,10 mg orodispersible  tablets
Cognezil  ODT,5 mg orodispersible  tablets
Cognomem,10 mg film - coated  tablets
Cognomem,20 mg film - coated  tablets
Cognomem,"5 mg/pump action, oral  solution"
CO-IRBEC,"150 mg/12,5 mg tablets"
CO-IRBEC,300 mg/25 mg film -  coated tablets
CO-IRBESAN,"150 mg/12,5 mg film -  coated tablets"
CO-IRBESAN,"300 mg/12,5 mg film -  coated tablets"
CO-IRBESAN,300 mg/25 mg film -  coated tablets
Colchicine  Ecopharm,"0,5 mg film - coated  tablets"
Colchicum - Dispert,"0,5 mg coated tablet"
Colchimex,500 micrograms tablets
Coldrex,tablets
Coldrex  Broncho,syr. - 100 ml; 160 ml
Coldrex  HotRem Blackcurrant,powd. 5 g x 5; x 10
Coldrex  HotRem Honey & Lemon,powd. sol. 750 mg/10 mg/  60 mg x 5; x 10
Coldrex  HotRem Lemon,powd. 5 g x 5; x 10
Coldrex  HotRem Lemon,750 mg/10 mg/60 mg  powder for oral solution
Coldrex  Junior,syr. - 160 ml
Coldrex  Junior Hot Drink,powd. x 5; x 10
Coldrex  Junior Hot Drink,300 mg/5 mg/20 mg powder  for oral solution
Coldrex  Laryplus Blackberry,"loz. 2,5 mg x 10; x 12;  x 20"
Coldrex  Laryplus Honey & Lemon,loz. x 10; x 12; x 20
Coldrex  MaxGrip BERRI FRUIT,1000 mg powder for oral  solution
Coldrex MaxGrip Berry Fruit,1000 mg/10 mg/70 mg  powder for oral solution
Coldrex MaxGrip Lemon,1000 mg/10 mg/40 mg  powder for oral solution
Coldrex  Menthol Active,600 mg/10 mg/40 mg  powder for oral solution
Coldrex  Nite,syr. - 160 ml
Coldrex  Nite,1000 mg/20 mg/15 mg/20  ml syrup
Coldrex  Nite Hotrem,1 000 mg/20 mg/15 mg  powder for oral solution
Coldrex  PLUS Cough,500 mg/200 mg/10 mg  powder for oral solution
Coldrex  Sinus +,tabl. film x 2; x 5; x  6; x 10; x 12; x 16; x 18; x 24; x 30; x 32
Coldrex  Sinus Extend,caps. prolong x 6; x 12;  x 24
Colikind,"oral drops, solution"
Co-Linipril,tabl. 20/25 mg x 14; x  28; x 30
Co-Linipril,"10 mg/12,5 mg tablets"
Co-Linipril,"20 mg/12,5 mg tablets"
Colistin  Alvogen,2  million international units (IU) powder for solution for injection or  infusion
Colistin  Alvogen,2 million international  units (IU) powder for solution for injection/infusion or inhalation
Colistin  Alvogen,1 million international  units (IU) powder for solution for injection/infusion or inhalation
Colistin  Alvogen,1  million international units (IU) powder for solution for injection or  infusion
Colistin  Floella,1 000 000 IU powder for  solution for injection and inhalation
Colistin  TZF,1 000 000 IU powder for  solution for injection/infusion and inhalation
Collosol  Iso,100 mg/ ml solution for  infusion
Colobutine,tabl. 100 mg x 20
Coloxet,150 mg film - coated  tablets
Coloxet,300 mg film - coated  tablets
Coloxet,500 mg film - coated  tablets
Coltowan,10 mg film-coated  tablets
Combicillin,powd. inj. 1 000 000 IU  x 10
Combicillin,powd. inj. 800 000 IU x  10
Combigan,"2 mg/ml + 5 mg/ml eye  drops, solution"
Combogesic,500 mg/150 mg film -  coated tablets
Concerta,18 mg prolonged - release  tablets
Concor,5 mg film - coated  tablets
Concor,10 mg film - coated  tablets
Concor  AM,10 mg/10 mg tablets
Concor  AM,5 mg/5 mg tablets
Concor  AM,10 mg/5 mg tablets
Concor  AM,5 mg/10 mg tablets
Concor  COR,tabl. film 10 mg x 30; x  50; x 100
Concor  Cor,"2,5 mg film - coated tablets"
Concor  Cor,5 mg film - coated  tablets
Condylin,5 mg/ml cutaneous  solution
CONOXIA,"100% medicinal gas,  cryogenic"
CONOXIA,"100% medicinal gas,  сompressed"
ContaMedia  Ioh,300 mgI/ml solution for  injection
Contamedia  IOH,350 mg I/ml solution for  injection
Contractubex,gel - 20 g; 50 g; 100 g
Contractubex,l g/10g/5 000 IU/100 g  gel
Contranon,"0,03 mg/3 mg tablets"
Controloc,20 mg gastro - resistant  tablets
Controloc,40 mg gastro - resistant  tablets
Converide,"150 mg/12,5 mg film -  coated tablets"
Converide,"300 mg/12,5 mg film -  coated tablets"
Converide,300 mg/25 mg film-coated  tablets
Convex  Chrono,500 mg prolonged -  release tablets
Convulex,caps. 150 mg x 100
Convulex,caps. gastro-res. 150 mg  x 100
Convulex,100 mg/ml solution for  injection/infusion
Convulex,"300 mg gastro -  resistant capsules, soft"
Convulex,50 mg/ml syrup
Convulex,"500 mg gastro -  resistant capsules, soft"
Convulex  Chrono,300 mg prolonged - release  tablets
Convulex  Chrono,500 mg prolonged - release  tablets
Convulsofin,tabl. 333 mg x 100
Cook  JJ,special purpose devices  and sets
Co-Olimestra,"20 mg/12,5 mg film - coated  tablets"
Co-Olimestra,20 mg/25 mg film - coated  tablets
Coolsart,20 mg/25 mg film -  coated tablets
Coolsart,40 mg/25 mg film -  coated tablets
Coolsart,"20 mg/12,5 mg film -  coated tablets"
Coolsart,"40mg/12,5 mg film -  coated tablets"
Coordinax,tabl. 5 mg; 10 mg
Copaxone,powd. inj. 20 mg + solv.  1 ml x 7; x 28
Copaxone,40 mg/ml solution for  injection in pre - filled syringe
Copaxone,20 mg/ml solution for  injection in pre-filled syringe
Copegus,200 mg film - coated tablets
Co-Prenessa,"2 mg/0,625 mg tablets"
Co-Prenessa,"4 mg/1,25 mg tablets"
Co-Prenessa,"8 mg/2,5 mg tablets"
Corabace,20 mg film - coated  tablets
Corabace,10 mg film - coated  tablets
Corabace  - Co,"10 mg/12,5 mg film -  coated tablets"
Corabace  - Co,"20 mg/12,5 mg film -  coated tablets"
Coracor,"5 mg, 10 mg, 20 mg  tablets"
Cordacare,10 mg tablets
Cordacare,20 mg tablets
Cordacare  Plus,"10 mg/12,5 mg tablets"
Cordacare  Plus,"20 mg/12,5 mg tablets"
Cordaflex,20 mg prolonged -  release tablets
Cordaflex  10 mg,tabl. film 10 mg x 100
Cordarone,200 mg tablets
Cordarone,150 mg/3 ml solution for  injection
Cordibenz  Plus,"10 mg/12,5 mg film -  coated tablets"
Cordibenz  Plus,20 mg/25 mg film -  coated tablets
Co-Renapril,tabl. 20 mg/6 mg x 14; x  28
Co-Renapril,"20 mg/12,5 mg tablets"
Co-Renitec,"20 mg/12,5 mg tablets"
Corinfar,20 mg prolonged -  release tablets
Corinfar  10 Retard,tabl. prolong 10 mg ?  30; ? 50; ? 100
Corinfar  20 Retard,tabl. prolong 20 mg x  30; x 50; x 100
Coripren,tabl. film 10 mg\10 mg x  7; x 14; x 28; x 30; x 35; x 42; x 50; x 56; x 90; x 98; x 100
Coripren,tabl. film 20 mg\10 mg x  7; x 14; x 28; x 30; x 35; x 42; x 50; x 56; x 90; x 98; x 100
Corledin,"7,5 mg film - coated  tablets"
Cormagnesin  200,"2047,5 mg/10 ml solution  for injection"
Cormagnesin  400,4095 mg/10 ml solution  for injection
Corneregel,5 % eye gel
Cornusan,10 mg/10 mg tablets
Cornusan,10 mg/20 mg tablets
Cornusan,10 mg/40 mg tablets
Cornusan,10 mg/80 mg tablets
CoroAss,300 mg gastro -  resistant tablets
CoroASS,100 mg gastro -  resistant tablets
Coronal,10 mg film - coated  tablets
Coronal,5 mg film - coated  tablets
Coronal  10,tabl. film 10 mg x 10; x  30; x 60; x 100
Coronal  5,tabl. film 5 mg x 10; x  30; x 60; x 100
Co-Roswera,5 mg/10 mg film - coated  tablets
Co-Roswera,10 mg/10 mg film -  coated tablets
Co-Roswera,15 mg/10 mg film -  coated tablets
Co-Roswera,20 mg/10 mg film -  coated tablets
Co-Roswera,40 mg/10 mg film -  coated tablets
Corpril,"tabl. film 1,25 mg x 30"
Corpril,tabl. film 10 mg x 30
Corpril,"tabl. film 2,5 mg x 30"
Corpril,tabl. film 5 mg x 30
Corsodyl  Mint,"0,2 g/100 ml oromucosal  solution"
Cortiment,9 mg prolonged - release  tablets
Cortimycin,oint. eye - 5 g
Cortimycin,"10 mg/g + 3,5 mg/g cream"
Cortimycin,25 mg/g + 25 mg/g  ointment
Cortineff,"0,1 mg tablets"
Corvitol,50  mg tablets
Coryol,"3,125 mg tablets"
Coryol,"6,25 mg tablets"
Coryol,"12,5 mg tablets"
Coryol,25 mg tablets
Coryzalia,coated tablets
Co-Sartoval,160 mg/25 mg film - coated  tablets
Co-Sartoval,"80 mg/12,5 mg film -  coated tablets"
Cosmegen,"powd. inf. 0,5 mg x 1"
CosmoFer,50 mg/ml solution for  injection/infusion
Cosopt,"2%/0,5% eye drops,  solution"
Cosopt  Imulti,"20 mg/ml + 5 mg/ml eye drops,  solution"
Cosopt  PF,"20 mg/ml + 5 mg/ml eye  drops, solution in single - dose container"
Costi,10 mg tablets
Cotini  Folium,herbal drug - 50 g
Cotini  Folium,herbal drug - 50 g
Cotini  Folium,herbal drug - 50 g
Cotini  Folium,herbal drug - 50 g; 80  g; 100 g
Co-Valsacor,"80 mg/12,5 mg film - coated  tablets"
Co-Valsacor,"160 mg/12,5 mg film - coated  tablets"
Co-Valsacor,160 mg/25 mg film - coated  tablets
Co-Valsacor,"320 mg/12,5 mg film - coated  tablets"
Co-Valsacor,320 mg/25 mg film - coated  tablets
Co-Valsar,tabl. film 160 mg/25 mg  x 1; x 10; x 14; x 15; x 20; x 28; x 30; x 50; x 56; x 60; x 90; x 98; x 100;  x 280
Co-Valsar,"tabl. film 80 mg/12,5 mg  x 1; x 10; x 14; x 15; x 20; x 28; x 30; x 50; x 56; x 60; x 90; x 98; x 100;  x 280"
Coverex,tabl. 4 mg x 30
Coxi,"200 mg capsule, hard"
COXIENT,120 mg film - coated  tablets
COXIENT,60 mg film - coated  tablets
COXIENT,90 mg film - coated  tablets
Coxtral,100 mg tablets
Cozaar,"powd.  2,5 mg/ml"
COZAAR,"12,5 mg film - coated  tablets"
Cozaar,"2,5 mg film - coated  tablets"
Cozaar,50 mg film - coated  tablets
Cralonin,drops x 30 ml
Cralonin,"70 g/1g/1g/100g oral  drops, solution"
Crestor,5 mg film - coated  tablets
Crestor,10 mg film - coated  tablets
Crestor,20 mg film - coated  tablets
Cricea,"3 mg/0,02 mg film - coated  tablets"
Crinone,80 mg/g vaginal gel
Critipime,1 g powder for solution  for injection/infusion
Cromorom  Adipharm,eye drops sol. 2 % - 10  ml.
Cromorom  Adipharm,"2 % eye drops, solution"
Crusia,"2 000 IU (20 mg)/0,2 ml  solution for injection in pre - filled syringe"
Crusia,"4 000 IU (40 mg)/0,4 ml  solution for injection in pre - filled syringe"
Crusia,"6 000 IU (60 mg)/0,6 ml  solution for injection in pre - filled syringe"
Crypineo,"3 mg/0,03 mg film - coated  tablets"
Cuprenil,250 mg film - coated  tablets
Curam,"powd. 156,25 mg/5 ml -  60 ml; 100 ml"
Curam,"powd. 312,5 mg/5 ml - 60  ml; 100 ml"
Curam,tabl. film 625 mg x 12;  x 15; x 16; x 20; x 30; x 100
Curam,tabl. film coat. 1 000  mg
Curosurf,80 mg/ml  endotracheopulmonary instillation suspension
Cusicrom,"4 % eye drops, solution"
Cusicrom  4%,spray nasal 40 mg/ml -  15 ml
Cusimolol,"0,5% eye drops, solution"
"Cusimolol  0,25%","0,25% eye drops,  solution"
Cutaquig,165 mg/ml solution for  injection
Cutivate,"0,005% ointment"
Cutivate,"0,05% cream"
Cyclo  3 Fort,"150 mg/150 mg/100 mg  capsules, hard"
Cyclodynon,4 mg film - coated  tablets
Cyclogest,400 mg pessaries
Cyclonamine,"500 mg capsules, hard"
Cycloplatin  200,powd. inf. 200 mg x 5
Cyclo-Premella,tabl. coat. 1 x 28; 3 x  28
Cynosbati  Fructus,herbal tea - 80 g; 120  g; 150 g
Cyproterone  Acetate,tabl. 50 mg x 10; x 20;  x 30; x 50; x 100
Cyproterone-Teva,50 mg tablets
Cyprotol,tabl. 4 mg x 20
Cyprotol,"0,4 mg/ml syrup"
Cystinol  Akut,"238,7 - 297,5 mg coated  tablets"
Cytarabin  Accord,100 mg/ml solution for  injection or infusion
Cytarabine  Stada,sol. inj. 20 mg/ml - 5  ml x 10; 2 ml x 10
Cytarabine  Stada,sol. inj. 50 mg/ml - 20  ml; 80 ml x 1
Cytoblastin,1 mg/ml solution for  injection
Cytocristin,1 mg/ml solution for  injection
Cytosar,powd. inj. 1 000 mg
Cytosar,powd. inj. 100 mg +  solv. x 1
Cytosar,powd. inj. 500 mg +  solv.
,
"Одобрени КХП на лекарствени продукти, разрешени за употреба в Р.  България",
,
търговско  наименование:,описание:
,
Dacarbazin  Teva,200 mg powder for  solution for injection
Dacepton,10 mg/ml solution for  injection/ infusion
Dacepton,5 mg/ml solution for  infusion
Dacepton,10 mg/ml solution for  injection in cartridge
Daclyne,300 mg hard capsules
Daclyne,600 mg hard capsules
Daivobet,"50 mcg/g + 0,5 mg/g  ointment"
Daivobet,"50 mcg/g + 0,5 mg/g gel"
Daktacort,20 mg/g /10 mg/g cream
Daktarin,20 mg/g oral gel
Dalacin,2%  vaginal cream
Dalacin  C,75 mg/5 ml granules for  syrup
Dalacin  C,"150 mg capsules, hard"
Dalacin  C,150 mg/ml solution for  injection
Dalacin  C,"300 mg capsules, hard"
Dalacin  T,10 mg/ml cutaneous solution
Dalacin  V,cream vag. 2% - 40 g
Daleron,120 mg/5 ml oralsolution
Daleron,500 mg tablets
Daleron  Cold3,325 mg/30 mg/15 mg film -  coated tablets
DALMEVIN,50 mg tablets
Dalsan,10 mg film - coated  tablets
Dalsan,20 mg film - coated  tablets
Dalsan,40 mg film - coated  tablets
Daltex,50 mg/1000 mg film -  coated tablets
Daltex,50 mg/850 mg film -  coated tablets
DALVOCANS,70 mg powder for  concentrate for solution for infusion
DALVOCANS,50 mg powder for  concentrate for solution for infusion
Darizol,5 mg orodispersible  tablets
Darizol,10 mg orodispersible  tablets
Darob,160 mg tablets
Darob,80 mg tablets
Darunavir  Accord,800 mg film - coated  tablets
Darunavir  Alvogen,400 mg film - coated  tablets
Darunavir  Alvogen,600 mg film - coated  tablets
Dasatinib  Alvogen,140 mg film - coated  tablets
Dasatinib  Alvogen,20 mg film - coated tablets
Dasatinib  Alvogen,50 mg film - coated tablets
Dasatinib  Alvogen,100 mg film - coated  tablets
Dasatinib  Alvogen,80 mg film - coated  tablets
Dasatinib  Alvogen,70 mg film - coated  tablets
Dasatinib  KRKA,20 mg film - coated tablets
Dasatinib  KRKA,50 mg film - coated tablets
Dasatinib  KRKA,70 mg film - coated tablets
Dasatinib  KRKA,80 mg film - coated tablets
Dasatinib  KRKA,100 mg film - coated tablets
Dasatinib  KRKA,140 mg film - coated tablets
Dasatinib  Mylan,100 mg film-codted  tablets
Dasatinib  Mylan,50 mg film-codted  tablets
Dasatinib Pharmadvice,20 mg film-coated  tablets
Dasatinib Pharmadvice,50 mg film-coated  tablets
Dasatinib Pharmadvice,70 mg film-coated  tablets
Dasatinib Pharmadvice,80 mg film-coated  tablets
Dasatinib Pharmadvice,100 mg film-coated  tablets
Dasatinib Pharmadvice,140 mg film-coated  tablets
Dasatinib  PharOS,100 mg film - coated  tablets
Dasatinib  PharOS,140 mg film - coated  tablets
Dasatinib  PharOS,20 mg film - coated tablets
Dasatinib  PharOS,50 mg film - coated  tablets
Dasatinib  Sandoz,50 mg film - coated tablets
Dasatinib  Sandoz,20 mg film - coated tablets
Dasatinib  Sandoz,140 mg film - coated tablets
Dasatinib  Sandoz,100 mg film - coated tablets
Dasatinib  Teva,50 mg film - coated tablets
Dasatinib  Zentiva,50 mg film - coated tablets
Dasergin,5 mg film-coated tablets
Davercin,"gel 2,5% - 30 g"
Davercin,25 mg/g gel
Daxpamil,"tabl. prolonged. 1,5 mg  x 10; x 14; x 15; x 20; x 28; x 30; x 50; x 60; x 90; x 100"
Daxpamil  DUO,"4 mg/1,25 mg tablets"
Daylette,"3 mg/0,02 mg film -  coated tablets"
Dayrun,tabl. film 600 mg x 6; x  10; x 20; x 30; x 60; x 100
DC  - Bar - Milve,90 g powder for oral and  rectal suspension
DC  - Bar -DC,90 g powder for oral and  rectal suspension
Dcsloratadine  Stada,"0,5 mg/ml oral solution"
De  - Nol,120 mg film - coated  tablets
Deanxit,"0,5 mg/10 mg film -  coated tablets"
Deanxit,"0,5 mg/10 mg film -  coated tablets"
Deavit,drops - 10 ml
Deavit  Neo,"0,5 mg/ml oral drops,  solution"
Decapeptyl,"0,1 mg/ml solution for  injection"
Decapeptyl  Depot,"3,75 mg powder and  solvent for suspension for injection"
Deep Heat Spray,"cutaneous spray,  solution"
Deep  Relief,gel - 50 g
Deep  Relief,50 mg/g + 30 mg/g gel
Deexafree,"1 mg/ml eye drops,  solution in single - dose container"
Deferasirox  Pharmasceience,250 mg dispersible tablets
Deferasirox  Pharmasceience,500 mg dispersible tablets
Deferasirox  Pharmasceience,125 mg dispersible tablets
Deferasirox  Synthon,90 mg film - coated  tablets
Deferasirox  Synthon,180 mg film - coated  tablets
Deferasirox  Synthon,360 mg film - coated  tablets
Deferasirox  Teva,250 mg dispersible  tablets
Deferasirox  Teva,180 mg film - coated  tablets
Deferasirox  Teva,360 mg film - coated  tablets
Deferasirox  Zentiva,125 mg diaspersible  tablets
Deferasirox  Zentiva,250 mg diaspersible  tablets
Deferasirox  Zentiva,500 mg diaspersible  tablets
Deferasirox  Zentiva,90 mg film-coated  tablets
Deferasirox  Zentiva,180 mg film-coated  tablets
Deferasirox  Zentiva,360 mg film-coated  tablets
Definax,"200 mg capsules, hard"
Deflamol,350 IU/400 IU/g ointment
Degan,10 mg/2 ml solution for  injection
Degan,10 mg tablets
Dehydratin  Neo,25 mg tablets
Dehydrazid,25 mg tablets
Dehydrocortison,5 mg tablets
Dekenor,50 mg/2 ml solution for  injection/infusion
Dekenor,25 mg film - coated  tablets
Demephan,"3,42 mg/ml syrup"
Dentinox,"gel 150 mg/3,4 mg/3,2  mg/g"
Dentocaine,"40 mg/0,005 mg/ml  solution for injection"
Dentocaine,"40 mg/0,01 mg/ml  solution for injection"
Dentokind,tablets
Depakine,500 mg gastro - resistant  tablets
Depakine,400 mg powder and  solvent for solution for injection
Depakine,"57,64 mg/ml syrup"
Depakine  Chrono,500 mg prolonged -  release tablets
Depakine  Chrono,300 mg prolonged - release  tablets
Depo  - Medrol,40 mg/ml + 10 mg/ml  suspension for injection
Depo  - Medrol,40 mg/ml suspension for  injection
Depo-Medrol  with Lidocaine,40 mg/ ml + 10 mg/ml  suspension for injection
Depoxat,tabl. film. 20 mg x 30
Deprexor  ER,"150 mg prolonged -  release capsules, hard"
Deprexor  ER,"75 mg prolonged -  release capsules, hard"
Dercin,1 g powder for solution  for infusion
Dercin,200 mg powder for  solution
Dermazin,1 % cream
Dermocort,"cream 0,1% - 15 g"
Dermodrin  Ointment,oint. 20 mg/g - 20 g; 50  g; 100 g
Dermovate,"0,05% cream"
Dermovate,"0,05% ointment"
Desallergan,"0,5 mg/ml oral solution"
Desferal,500 mg powder for  solution
Desinobon,4 mg/5 ml concentrate  for solution for infusion
Desirett,75 micrograms film - coated  tablets
Desloratadin  Zentiva,5 mg orodispersible  tablets
Desloratadin  Zentiva,"0,5 mg/ml oral solution"
Desloratadin  Zentiva,5 mg film - coated  tablets
Desloratadinc  Stada,"0,5 mg/ml oral solution"
Desloratadine  Alvogen,"2,5 mg orodispersible"
Desloratadine  Alvogen,5 mg orodispersible
Desloratadine  Alvogen,"0,5 mg/ml oral solution"
Desloratadine  Alvogen,5 mg film-coated tabl
Desloratadine  Archie Samuel,5 mg film - coated  tablets
Desloratadine  Cipla,5 mg film - coated  tablets
Desloratadine  gsk,5 mg flim-coated tabl.
Desloratadine  Ibermedgen,"0,5 mg/ml oral solution"
Desloratadine  Ibermedgen,5 mg/ml film - coated  tablets
Desloratadine  Sopharma,"0,5 mg/ml oral solution"
Desloratadine  Sopharma,5 mg film - coated  tablets
Desloratadine  Stada,"0,5 mg/ml oral solution"
Desloratadine  Teva,"0,5 mg/ml oral solution"
Desloratadine VP,"0,5 mg/ml oral solution"
Despra,10 mg film - coated  tablets
Despra,15 mg film - coated  tablets
Despra,20 mg film - coated  tablets
Desybel,"2,5 mg/5 ml syrup"
Desybel,5 mg film - coated  tablets
Detralex,500 mg film - coated  tablets
Detrusitol,1 mg film - coated  tablets
Detrusitol,2 mg film - coated  tablets
Dettol  Med Wound Spray,"0,20% w/w cutaneous  spray, solution"
Devil`s  Claw Pharmadvise,600 mg film - coated  tablets
Dex  - Tobrin,"3 mg/ml + 1 mg/ml eye  drops, suspension"
Dexafree,"1 mg/ml eye drops,  solution in single - dose container"
Dexamethason  KRKA,20 mg tablets
Dexamethason  KRKA,40 mg tablets
Dexamethason  KRKA,4 mg tablets
Dexamethason  KRKA,8 mg tablets
Dexamethason  KRKA,"0,5 mg tablets"
Dexamethason  Krka,4 mg/ml solution for  injection
Dexamethasone  Adipharm,eye drops susp. 10 ml x 1
Dexamethasone  Sopharma,4 mg/ml solution for  injection
Dexamphenicol,"5 mg/ml + 1 mg/ml eye  drops, solution"
Dexapolcort,"0,28 mg/g cutaneous  spray, suspension"
Dexason,4 mg/ml solution for injection
Dexaven,sol. inj. 4 mg/ml - 1  ml; 2 ml x 10
Dexinal,25 mg film - coated  tablets
Dexketonal,25 mg film - coated  tablets
Dexketoprofen  - Tchaikapharma,50 mg/2 ml solution for  injection or concentrate for solution for infusion
Dexketoprofen  Rompharm,50 mg/2 ml solution for  injection or concetrate for solution for infusion
Dexketoprofen  Sandoz,25 mg film - coated  tablets
Dexmedetomidine Kalceks,100 micrograms/ml  concetrate for solution for infusion
Dexofen,25 mg film - coated  tablets
Dexofen  Inject,50 mg/2 ml solution for  injection/infusion
Dexofen  sachet,25 mg granules for oral  solution
DHC Continus,60 mg modified - release  tablets
DHC Continus,90 mg modified - release  tablets
Diab,80 mg tablets
Diab  MR,30 mg modified - release  tablets
Diabezidum  XL,30 mg prolonged -  release tablets
Diabrezide,tabl. 80 mg x 40
Diafer,50 mg/ml solution for  injection
Dialgin,250 mg powder for oral  solution
Dialgin,500 mg powder for oral  solution
Dialgin,"500 mg/ml oral drops,  solution"
Dialgin,1000 mg powder for oral  solution
Dialgin  Express,500 mg/50 mg powder for  oral solution in sachet
Dialgin  Junior,250 mg powder for oral  solution
Dialgin  Kids,"500 mg/ml oral drops,  solution"
Diane  35,"0,035 mg/2 mg coated  tablets"
Dianeal  PD4 Glucose,"1,36% w/v/13,6 mg/ml solution for peritoneal  dialysis"
Dianeal  PD4 Glucose,"2, 27% w/v/ 22, 7mg/ml solution for  peritoneal dialysis"
Dianeal  PD4 Glucose,"3, 86% w/v/ 38, 6 mg/ml  solution for peritoneal dialysis"
Diaprel  MR,30 mg modified - release  tablets
Diaprel MR,60 mg modified - release  tablets
Diarostad,"2 mg capsules, hard"
Diavobet,"50 mcgms/g + 0,5 mg/g  gel"
Diazepam  Accord,10 mg tablets
Diazepam  Accord,5 mg tablets
Diazepam  Actavis,10 mg tablets
Diazepam  Actavis,5 mg tablets
Diazepam  G. L.,"10 mg/2,5 ml rectal  solution"
Diazepam  G. L.,"5 mg/2,5 ml rectal  solution"
Diazepam  Gerot,"10 mg/2,5 ml rectal  solution"
Diazepam  Gerot,"5 mg/2,5 ml rectal  solution"
Diazepam  Sopharma,sol. inj. 5 mg/ml - 2 ml  x 10; x 100
Dibetix,"0,5 mg tablets"
Dibetix,1 mg tablets
Dibetix,2 mg tablets
Diclac,5% gel
Diclac,1% gel
Diclac,75 mg/3 ml solution for  injection
Diclac,75 ID 75 mg modified -  release tablets
Diclac,150 ID 150 mg modified -  release tablets
Diclac  Max,5 % gel
Dicloabak,"1 mg/ml eye drops,  solution"
Diclobak,"1 mg, eye drops,  solution"
Diclofenac  - Tchaikapharma,50 mg gastro-resistant  tablets
Diclofenac  50 Stada,tabl. gastro-res. 50 mg  x 20; x 50; x 100
Diclofenac  Duo,"75 mg prolonged -  release capsules, hard"
Diclofenac  VP,5% gel
Diclofenac  VP,25 mg / ml solution for  injection
Diclofenac  VP,1 %  gel
Diclofenac  Vramed,gel 1% - 60 g
Dicloflex,1 %  gel
Dicloflex,25 mg/ml solution for  injection
Dicloflex,5% gel
Diclogenta  Adipharm,eye drops sol. - 5 ml
Dicloneurovit,"capsules, hard"
DICLOPRAM,"75 mg/20 mg modified -  release capsules, hard"
Dicloral,"mouthwash 0,074% - 200  ml"
DicloRapid,75 mg gastro - resistant  capsules
Dicynone,500 mg tablets
Dicynone,250 mg/2 ml solution for  injection
Dicynone,"500 mg capsules, hard"
Dienille,"2 mg/0,03 mg film -  coated tablets"
Dienorette,"2 mg/0,03 mg film -  coated tablets"
Diflazon,2 mg/ml solution for  infusion
Diflazon,2 mg/ml solution for  infusion
Diflazon,"50 mg capsules, hard"
Diflazon,"100 mg capsules, hard"
Diflazon,"150 mg capsules, hard"
Diflazon,"200 mg capsules, hard"
Diflucan,"50 mg capsules, hard"
Diflucan,2 mg/ml solution for  infusion
Diflucan,"150 mg capsules, hard"
Diftet,suspension for injection
Diftetkok,suspension for injection
Diftetkok  without preservative,"susp. inj. 0,5 ml x 10;  x 50"
Diglical,80 mg tablets
Diglical  ER,60 mg modified - release  tablets
Digoxin  NIHFI,"tabl. 0,25 mg x 20; x 50"
Digoxin  Richter,tabl. 250 mcg x 50
