Product,Strength and Form
Cibacen,tabl. film 20 mg x 28
Cibacen,10 mg film - coated  tablets
Cibadrex,"tabl. film 10 mg/12,5 mg  x 28"
Cibadrex,20 mg/25 mg film -  coated tablets
Ciclo,caps. 100 mg x 50; x 100
Ciclo,caps. 25 mg x 50; x 100
Ciclo,caps. 50 mg x 50; x 100
Ciclosporin  Alkaloid,100 mg/ml oral solution
Ciclosporin Alkaloid,100 mg soft capsules
Ciclosporin Alkaloid,50 mg soft capsules
Ciclosporin Alkaloid,25 mg soft capsules
Ciclotau,"10 mg/ml cutaneous  spray, solution"
Cifran,tabl. film 250 mg x 10;  x 20; x 100
Cifran,tabl. film 500 mg x 10;  x 20; x 100
Cifran,tabl. film 750 mg x 10;  x 20; x 100
Cifran,500 mg film - coated  tablets
Cilapenem,500 mg/500 mg powder for  solution for infusion
Cilastem,sol. inf. 250 mg/250 mg  - 20 ml x 1; x 5; x 10
Cilastem,sol. inf. 500 mg/500 mg  - 20 ml x 1; x 5; x 10
Cilest,tabl. 1 x 21; 3 x 21
Cilest,"0,250 mg/0,035 mg  tablets"
Cilostazol Galenica,100 mg tablets
Cilostazol  Sandoz,100 mg tablets
Cilostazol  Stada,100 mg tablets
Cilostazol  Stada,50 mg tablets
Ciloxan,"3 mg/ml eye and ear  drops, solution"
Cimetidin,tabl. film 200 mg x 100
Cimocinox,400 mg/250 ml solution  for infusion
Cimocinox,400 mg film - coated  tablets
Cinacalcet  Accord,30 mg film - coated  tablets
Cinacalcet  Accord,60 mg film - coated tablets
Cinacalcet  Accord,90 mg film - coated tablets
Cinacalcet  Heaton,30 mg film - coated tablets
Cinacalcet  Helm,90 mg film - coated  tablets
Cinacalcet  Helm,60 mg film - coated  tablets
Cinacalcet  Helm,30 mg film - coated  tablets
Cinacalcet  Pharmazac,90 mg film - coated tablets
Cinacalcet  Pharmazac,30 mg film - coated tablets
Cinacalcet  Pharmazac,60 mg film - coated tablets
Cinacalcet  Sandoz,30 mg film - coated tablets
Cinacalcet  Sandoz,60 mg film - coated tablets
Cinacalcet  Sandoz,90 mg film - coated tablets
Cinacalcet  Synthon,60 mg film - coated  tablets
Cinacalcet  Synthon,90 mg film - coated  tablets
Cinacalcet  Synthon,30 mg film - coated  tablets
Cinacalcet  Teva,60 mg film - coated tablets
Cinacalcet  Teva,90 mg film - coated  tablets
Cinacalcet  Teva,30 mg film - coated tablets
Cinnabsin,tablets
Cinnarizin,tabl. 25 mg x 100
Cinnarizin,tabl. 25 mg x 50
Cinnarizin  - Inbiotech,tabl. 25 mg x 50
Cinnarizin  - Pharma,tabl. 25 mg x 50; x 100;  x 2 000
Cinnarizin  ?ilve,tabl. 25 mg x 25; x 50
Cinnarizin  Actavis,25  mg tablets
Cinnarizin  Biomeda,tabl. 25 mg x 50; x 60
Cinnarizin  Unipharm,tabl. 25 mg x 100
Cinnarizin  Vramed,tabl. 25 mg x 50
Cinnarizine  Sopharma,25 mg tablets
Ciphin,200 mg/100 ml sol. For  infusion
Ciphin,200 mg/100 ml solution  for infusion
Cipralex,tabl. film 15 mg x 14; x  20; x 28; x 49; x 50; x 56; x 98; x 100; x 200; x 500
Cipralex,tabl. film 20 mg x 14; x  20; x 28; x 49; x 50; x 56; x 98; x 100; x 200; x 500
Cipralex,tabl. film 5 mg x 14; x  20; x 28; x 49; x 50; x 56; x 98; x 100; x 200; x 500
Cipralex,tabl. orodisp. 10 mg x  100
Cipralex,tabl. orodisp. 20 mg x  100
Cipralex,tabl. orodisp. 5 mg x  100
Cipralex,10 mg film-coated  tablets
Cipralex  MELTZ,10 mg orodispersible  tablets
Cipralex  MELTZ,20 mg orodispersible  tablets
Ciprinol,250 mg film - coated tablets
Ciprinol,500 mg film - coated tablets
Ciprinol,100 mg/10 ml concentrate  for solution for infusion
Ciprinol,100 mg/50 ml solution  for infusion
Ciprinol,200 mg/100 ml solution  for infusion
Ciprinol,200 mg/100 ml solution  for infusion
Ciprobay,250 mg film-coated  tablets
Ciprobay,500 mg film-coated  tablets
Ciprobay  200,sol. inf. 2 mg/ml - 100  ml
Ciprobay  400,sol. inf. 2 mg/ml - 200  ml
Ciprobay  XR,tabl. modif. release 500  mg x 3
Ciproflav,10 mg/ml concentrate for  solution for infusion
Ciprofloxacin,tabl. film 500 mg x 10
Ciprofloxacin ABR,"3 mg/ml eye and ear  drops, solution"
Ciprofloxacin  Actavis,tabl. film 50 mg x 30
Ciprofloxacin  Actavis,250 mg  film - coated tablets
Ciprofloxacin  Actavis,500 mg film - coated  tablets
Ciprofloxacin  Alkaloid,250 mg film - coated tablets
Ciprofloxacin  Alkaloid,500 mg film - coated tablets
Ciprofloxacin  Aurobindo,250 mg film - coated tablets
Ciprofloxacin  Aurobindo,500 mg film - coated tablets
Ciprofloxacin  Aurobindo,750 mg film - coated tablets
Ciprofloxacin  Ecopharm,500 mg film - coated  tablets
Ciprofloxacin Hikma,200 mg/100 ml solution  for infusion
Ciprofloxacin  Sopharma,10 mg/ml concentrate for  solution for infusion
Ciprofloxacin  Sopharma,500 mg film - coated  tablets
Ciprolon,250 mg film - coated  tablets
Ciprolon,500 mg film - coated  tablets
Ciprolon,750 mg film - coated  tablets
Ciprox,2 mg/ml solution for  infusion
Ciproxin,susp. - 50 mg/ml; 100  mg/ml
Ciqorin,"100 mg capsules, soft"
Ciqorin,"25 mg capsules, soft"
Ciqorin,"50 mg capsules, soft"
Cisaxa,2 mg/ml solution for  injection/infusion
Cisplatin,"sol. inj./inf. 0,5 mg/ml  - 20 ml; 50 ml; 100 ml; 200 ml"
Cisplatin  Accord,1 mg/ml concentrate for  solution for infusion
Cisplatin  Ebewe,"0,5 mg/ml concentrate  for solution for infusion"
Cisplatin  Ebewe,1 mg/ml concentrate for  solution for infusion
Cisplatin  Mylan,1 mg/ml concentrate for  solution for infusion
Citalec  10 Zentiva,tabl. film 10 mg x 20; x  30; x 50; x 60; x 90; x 100
Citalec  20 Zentiva,tabl. film 20 mg x 20; x  30; x 50; x 60; x 90; x 100
Citalon,tabl. film 10 mg x 20; x  30; x 50; x 100
Citalon,tabl. film 20 mg x 20; x  30; x 50; x 100
Citalon,tabl. film 40 mg x 20; x  30; x 50; x 100
Citalopram  - Vitania,20 mg film-coated  tablets
Citeral,250 mg film - coated  tablets
Citeral,500 mg film - coated  tablets
Citomid,powd. inj. 1 mg + solv.  10 ml
Citomix,granules
Clarelux,500 mcg/g ointment
Clarinase,tabl. modif. release x  10
Clarinase,tabl. x 10
Clarinase,5 mg/120 mg prolonged -  release tablets
Clariscan,"0,5 mmol/ml solution for  injection"
Clariscan,"0,5 mmol/ml solution for  injection in pre - filled syringe"
Clarithromycin  - Vitania,tabl. film. 500 mg x 20
Clarithromycin  ABR,500 mg powder inj.
Clarithromycin  Lek,250  mg 500 mg
Clarithromycin  Sandoz,250 mg film - coated  tablets
Clarithromycin  Sandoz,500 mg film - coated  tablets
Claritine,1 mg/ml syrup
Claritine,10  mg tablets
Clarzole,"2,5 mg film - coated  tablets"
Clastodron,"3 mg/ml, 6 mg/ml, 9  mg/ml conc. For sol. For injection"
Claxirit,500 mg prolonged -  release tablets
Clemastin  Actavis,1 mg tablets
Clenbuterol  Actavis,syr. 1 mcg/ml - 100 ml
Clenbuterol  NIHFI,"tabl. 0,02 mg x 50"
Clenbuterol  Sopharma,"0,02 mg tablets"
Clenil,sol. inh. pres. 250  mcg/dose - 200 dose
Clenil,sol. inh. pres. 50  mcg/dose - 200 dose
Clenil  Jet,sol. inh. pres. 250  mcg/dose - 200 dose
Cleodette,"0,02 mg/3 mg film -  coated tablets"
Cleonita,"0,02 mg/3 mg film-coated  tablets"
Cleopa,25 mg film - coated  tablets
Cleosensa,"0,03 mg/3 mg film -  coated tablets"
Cleron,powd. susp. 125 mg/5 ml  - 100 ml
Cleron  250,tabl. film 250 mg x 14
Cleron  500,tabl. film 500 mg x 14
Clexane,"6 000 IU (60 mg)/0,6 ml  solution for injection in pre - filled syringes"
Clexane,"8 000 IU (80 mg)/0,8 ml  solution for injection in pre - filled syringes"
Clexane,10 000 IU (100 mg)/ml  solution for injection in pre - filled syringes
Climara,"patch 3,9 mg/12,5 cm2 x  4"
Climara,"transderm. plastir  estradiol 3,8 mg"
Climara,50 micrograms /299001394  h transdermal patch
Climara  Forte,"patch 7,8 mg/25 cm2"
Climen,2 mg/1 mg coated tablets
Climox,250 mg film-coated  tablets
Climox,500 mg film-coated  tablets
Climox,500 mg/125 mg film -  coated tablets
Climox,870 mg/125 mg film -  coated tablets
Climox 878,flim-coated tabl . 125  mg
Clindamycin  - MIP,300 mg film - coated  tablets
Clindamycin  - MIP,600 mg film - coated tablets
Clindamycin  ABR,"300 mg capsules, hard"
Clindamycin  ABR,"600 mg capsules, hard"
Clindamycin ABR,"150 mg capsules, hard"
Clindamycin  Actavis,300 mg hard capsules
Clindamycin  Actavis,600 mg hard capsules
Clindamycin Actavis,"150 mg capsules, hard"
Clindamycin Kabi,150 mg/ml solution for  injection
Clindamycin-MIP,300 mg film-coated  tablets
Clindamycin-MIP,150 mg/ml solution for  injection
Clinimix  N14G30E,sol. inf. 2 000 ml
Clinimix  N9G20E,sol. inf. 2 000 ml
Clinoleic  20% Emulsion for Infusion,emul. inf. 20% - 100 ml;  125 ml; 250 ml; 350 ml; 500 ml; 1 000 ml x 1; x 6; x 12; x 10; x 24
Cliprofloxacin,tabl. film 500 mg x 10
Clivarin,"sol. inj. 5 726 anti-Xa  IU/ml - 0,25 ml - 0,6 ml x 5; x 10"
Clivarin  Pen,sol. inj. 5 726 anti-Xa  IU/ml - 3 ml x 1
Clobederm,"0,05 mg/g ointment"
Clofarabin  Alvogen,1 mg/ml concentrate for  solution for infusion
Clofarabine  Sandoz,1 mg/ml concentrate for  solution for infusion
Clonareks,"2,5 mg/ml oral drops, solution"
Clonareks,"0,5 mg tablets"
Clonareks,2 mg tablets
Clonazepam  Floella,"0,5 mg tablets"
Clonazepam  Floella,2 mg tablets
Clopez,75 mg film - coated  tablets
Clopidocon,75 mg film - coated  tablets
Clopidogre/ASA  Billev,75 mg/75 mg film -  coated tablets
Clopidogre/ASA  Billev,75 mg /100 mg film -  coated tablets
Clopidogrel  - Ratiopharrm,75 mg film - coated  tablets
Clopidogrel  Accord,75 mg film - coated  tablets
Clopidogrel  Actavis,75 mg film - coated  tablets
Clopidogrel  AL,75 mg film - coated  tablets
Clopidogrel  Ecopharm,75 mg film - coated  tablets
Clopidogrel  Genericon,75 mg film - coated  tablets
Clopidogrel  GSK,75 mg film - coated  tablets
Clopidogrel  Invent Farma,75 mg film - coated  tablets
Clopidogrel  Jenson,75 mg film - coated  tablets
Clopidogrel  Medico Uno,75 mg film - coated  tablets
Clopidogrel  Pentafarma,75 mg film - coated  tablets
Clopidogrel  Pfizer,75 mg film - coated  tablets
Clopidogrel  Romastru,75 mg film - coated  tablets
Clopidogrel  Stada,75 mg film - coated  tablets
Clopidogrel  Vale Pharmaceuticals,75 mg film
Clopidogrel/ASA  Billev,75 mg / 75 mg film - coated
Clopidogrel/ASA  Billev,75 mg / 100 mg film -  coated
Clopidostad,75 mg film - coated  tablets
Clopigamma,75 mg film - coated  tablets
Clopipeg,tabl. film 75 mg x 14; x  28; x 30; x 50; x 84; x 90; x 100
Clopithan,tabl. film 75 mg x 14; x  28; x 30; x 50; x 84; x 90; x 100
Clopix,75 mg film - coated  tablets
Clopixol,10 mg film - coated  tablets
Clopixol  Depot,200 mg/ml solution for  injection
Clopixol-Acuphase,50 mg/ml solution for  injection
Cloroden,tabl. film 75 mg x 14; x  28; x 30; x 50; x 84; x 90; x 100
Clostilbegyt,50  mg tablets
Clotrimazol,100 mg vaginal tablets
Clotrimazol,1 % cream
Clotrimazol  ABR,10 mg /g cream
Clotrimazol  Hexal,cream 10 mg/g - 25 g; 50  g
Clovate,"0,05% cream"
Clovate,"0,05% ointment"
Clozapine  Accord,25 mg tablets
Clozapine  Accord,100 mg tablets
Clozapine  Accord,200 mg tablets
Cluvot,250 IU powder and  solvent for solution for injection/infusion
Cluvot,1250 IU powder and  solvent for solution for injection/infusion
Co  - Amlessa,"2 mg/5 mg/0,625 mg  tablets"
Co  - Amlessa,"4 mg/5 mg/12,5 mg  tablets"
Co  - Amlessa,"4 mg/10 mg/12,5 mg  tablets"
Co  - Amlessa,"8 mg/5 mg/2,5 mg tablets"
Co  - Amlessa,"8 mg/10 mg/2,5 mg  tablets"
Co  - Codamol,1 000 mg/60 mg film -  coated tablets
Co  - Codamol,500 mg/30 mg film -  coated tablets
Co  - Diovan,"320 mg/12,5 mg film -  coated tablets"
Co  - Diovan,320 mg/25 mg film -  coated tablets
Co  - Diovan,"80 mg/12,5 mg film -  coated tablets"
Co  - Diovan,"160 mg/12,5 mg film -  coated tablets"
Co  - Diovan,160 mg/25 mg film - coated  tablets
Co  - Diroton,"10 mg/12,5 mg tablets"
Co  - Diroton,"20 mg/12,5 mg tablets"
Co - Enalapril - Tchaikapharma,"25 mg/12,5 mg tablets"
Co  - Hypertonic,"50 mg/12,5 mg film -  coated tablets"
Co  - Ibersan,"150 mg/12,5 mg film -  coated tablets"
Co  - Irbec,"150 mg/12,5 mg tablets"
Co  - Irbec,"300 mg/12,5 mg tablets"
Co  - Irbesan,300 mg/25 mg film -  coated tablets
Co  - Irbesan,"300 mg/12,5 mg film -  coated tablets"
CO  - Irbesso,"300 mg/12,5 mg film -  coated tablets"
CO  - Irbesso,"150 mg/12,5 mg film -  coated tablets"
Co  - Linipril,"10 mg/12,5 mg tablets"
Co  - Linipril,"20 mg/12,5 mg tablets"
Co  - Olimestra,"40 mg/12,5 mg film -  coated tablets"
Co  - Olimestra,40 mg/25 mg film -  coated tablets
Co  - Olimestra,20 mg/25 mg film -  coated tablets
Co  - Olimestra,"20 mg/12,5 mg film -  coated tablets"
Co  - Paxene,"2 mg/0,625 mg tablets"
Co  - Paxene,"4 mg/1,25 mg tablets"
Co  - Prenessa,"2 mg/0,625 mg tablets"
Co  - Prenessa,"4 mg/1,25 mg tablets"
Co  - Prenessa,"8 mg/2,5 mg tablets"
Co  - Renapril,20 mg/6 mg tablets
Co  - Renapril,"20 mg/12,5 mg tablets"
Co - Sartoval,"80 mg/12,5 mg film -  coated tablets"
Co - Sartoval,160 mg/25 mg film -  coated tablets
Co  - Telsart,"40 mg/12,5 mg tablets"
Co  - Telsart,"80 mg/12,5 mg tablets"
Co  - Telsart,80 mg/25 mg tablets
Co  - Valsacor,160 mg/25 mg film -  coated tablets
Co  - Valsacor,"80 mg/12,5 mg film -  coated tablets"
Co  - Valsacor,160 mg/25 mg film -  coated tablets
Co  - Valsacor,"80 mg/12,5 mg film -  coated tablets"
Co  - Valsacor,"320 mg/12,5 mg film -  coated tablets"
Co  - Valsacor,320 mg/25 mg film -  coated tablets
Co  - Valstor,160 mg/25 mg film -  coated tablets
Co  - Valstor,"160 mg/12,5 mg film -  coated tablets"
Co  -Valsacor,"160 mg/12,5 mg film -  coated tablets"
Co  -Valsacor,"320 mg/12,5 mg film -  coated tablets"
Co-Amlessa,"2 mg/5 mg/0,625 mg tab"
Co-Amlessa,"4 mg/10 mg/1,25 mg  tablets"
Co-Amlessa,"4 mg/5 mg/1,25 mg  tablets"
Co-Amlessa,"8 mg/10 mg/2,5 mg  tablets"
Co-Amlessa,"8 mg/5 mg/2,5 mg tablets"
Coaxil,"12,5 mg coated tablets"
Cocandesargen,"8 mg/12,5 mg tablets"
Cocandesargen,"16 mg/12,5 mg tablets"
Cocculine,tablets
Co-Codamol,500/30 mg film - coated tablets
Co-Codamol,1000/60 mg film - coated  tablets
Coda  Balloon Catheter,therapeutic catheter
Co-Diova,"tabl. film 80/12,5 mg x  28"
Co-Diovan,"160 mg/12,5 mg film - coated  tablets"
Co-Diovan,160 mg/25 mg film - coated  tablets
Co-Diroton,"10 mg /12,5 mg tablets"
Co-Diroton,"20 mg /12,5 mg tablets"
Codterpin,tabl. x 10
Coffeinum  -Natrio Benzoicum,sol. inj. 200 mg/ml - 1  ml x 10; x 100
Coffergamin,1 mg/100 mg film -  coated tablets
Cofiperla,"0,075 mg/0,030 mg  tablets"
Cognezil,5mg film - coated  tablets
Cognezil,10 mg film - coated  tablets
Cognezil  ODT,10 mg orodispersible  tablets
Cognezil  ODT,5 mg orodispersible  tablets
Cognomem,10 mg film - coated  tablets
Cognomem,20 mg film - coated  tablets
Cognomem,"5 mg/pump action, oral  solution"
CO-IRBEC,"150 mg/12,5 mg tablets"
CO-IRBEC,300 mg/25 mg film -  coated tablets
CO-IRBESAN,"150 mg/12,5 mg film -  coated tablets"
CO-IRBESAN,"300 mg/12,5 mg film -  coated tablets"
CO-IRBESAN,300 mg/25 mg film -  coated tablets
Colchicine  Ecopharm,"0,5 mg film - coated  tablets"
Colchicum - Dispert,"0,5 mg coated tablet"
Colchimex,500 micrograms tablets
Coldrex,tablets
Coldrex  Broncho,syr. - 100 ml; 160 ml
Coldrex  HotRem Blackcurrant,powd. 5 g x 5; x 10
Coldrex  HotRem Honey & Lemon,powd. sol. 750 mg/10 mg/  60 mg x 5; x 10
Coldrex  HotRem Lemon,powd. 5 g x 5; x 10
Coldrex  HotRem Lemon,750 mg/10 mg/60 mg  powder for oral solution
Coldrex  Junior,syr. - 160 ml
Coldrex  Junior Hot Drink,powd. x 5; x 10
Coldrex  Junior Hot Drink,300 mg/5 mg/20 mg powder  for oral solution
Coldrex  Laryplus Blackberry,"loz. 2,5 mg x 10; x 12;  x 20"
Coldrex  Laryplus Honey & Lemon,loz. x 10; x 12; x 20
Coldrex  MaxGrip BERRI FRUIT,1000 mg powder for oral  solution
Coldrex MaxGrip Berry Fruit,1000 mg/10 mg/70 mg  powder for oral solution
Coldrex MaxGrip Lemon,1000 mg/10 mg/40 mg  powder for oral solution
Coldrex  Menthol Active,600 mg/10 mg/40 mg  powder for oral solution
Coldrex  Nite,syr. - 160 ml
Coldrex  Nite,1000 mg/20 mg/15 mg/20  ml syrup
Coldrex  Nite Hotrem,1 000 mg/20 mg/15 mg  powder for oral solution
Coldrex  PLUS Cough,500 mg/200 mg/10 mg  powder for oral solution
Coldrex  Sinus +,tabl. film x 2; x 5; x  6; x 10; x 12; x 16; x 18; x 24; x 30; x 32
Coldrex  Sinus Extend,caps. prolong x 6; x 12;  x 24
Colikind,"oral drops, solution"
Co-Linipril,tabl. 20/25 mg x 14; x  28; x 30
Co-Linipril,"10 mg/12,5 mg tablets"
Co-Linipril,"20 mg/12,5 mg tablets"
Colistin  Alvogen,2  million international units (IU) powder for solution for injection or  infusion
Colistin  Alvogen,2 million international  units (IU) powder for solution for injection/infusion or inhalation
Colistin  Alvogen,1 million international  units (IU) powder for solution for injection/infusion or inhalation
Colistin  Alvogen,1  million international units (IU) powder for solution for injection or  infusion
Colistin  Floella,1 000 000 IU powder for  solution for injection and inhalation
Colistin  TZF,1 000 000 IU powder for  solution for injection/infusion and inhalation
Collosol  Iso,100 mg/ ml solution for  infusion
Colobutine,tabl. 100 mg x 20
Coloxet,150 mg film - coated  tablets
Coloxet,300 mg film - coated  tablets
Coloxet,500 mg film - coated  tablets
Coltowan,10 mg film-coated  tablets
Combicillin,powd. inj. 1 000 000 IU  x 10
Combicillin,powd. inj. 800 000 IU x  10
Combigan,"2 mg/ml + 5 mg/ml eye  drops, solution"
Combogesic,500 mg/150 mg film -  coated tablets
Concerta,18 mg prolonged - release  tablets
Concor,5 mg film - coated  tablets
Concor,10 mg film - coated  tablets
Concor  AM,10 mg/10 mg tablets
Concor  AM,5 mg/5 mg tablets
Concor  AM,10 mg/5 mg tablets
Concor  AM,5 mg/10 mg tablets
Concor  COR,tabl. film 10 mg x 30; x  50; x 100
Concor  Cor,"2,5 mg film - coated tablets"
Concor  Cor,5 mg film - coated  tablets
Condylin,5 mg/ml cutaneous  solution
CONOXIA,"100% medicinal gas,  cryogenic"
CONOXIA,"100% medicinal gas,  сompressed"
ContaMedia  Ioh,300 mgI/ml solution for  injection
Contamedia  IOH,350 mg I/ml solution for  injection
Contractubex,gel - 20 g; 50 g; 100 g
Contractubex,l g/10g/5 000 IU/100 g  gel
Contranon,"0,03 mg/3 mg tablets"
Controloc,20 mg gastro - resistant  tablets
Controloc,40 mg gastro - resistant  tablets
Converide,"150 mg/12,5 mg film -  coated tablets"
Converide,"300 mg/12,5 mg film -  coated tablets"
Converide,300 mg/25 mg film-coated  tablets
Convex  Chrono,500 mg prolonged -  release tablets
Convulex,caps. 150 mg x 100
Convulex,caps. gastro-res. 150 mg  x 100
Convulex,100 mg/ml solution for  injection/infusion
Convulex,"300 mg gastro -  resistant capsules, soft"
Convulex,50 mg/ml syrup
Convulex,"500 mg gastro -  resistant capsules, soft"
Convulex  Chrono,300 mg prolonged - release  tablets
Convulex  Chrono,500 mg prolonged - release  tablets
Convulsofin,tabl. 333 mg x 100
Cook  JJ,special purpose devices  and sets
Co-Olimestra,"20 mg/12,5 mg film - coated  tablets"
Co-Olimestra,20 mg/25 mg film - coated  tablets
Co-Olimestra,"40 mg/12,5 mg film - coated  tablets"
Co-Olimestra,40 mg/25 mg film - coated  tablets
Coolsart,20 mg/25 mg film -  coated tablets
Coolsart,40 mg/25 mg film -  coated tablets
Coolsart,"20 mg/12,5 mg film -  coated tablets"
Coolsart,"40mg/12,5 mg film -  coated tablets"
Coordinax,tabl. 5 mg; 10 mg
Copaxone,powd. inj. 20 mg + solv.  1 ml x 7; x 28
Copaxone,40 mg/ml solution for  injection in pre - filled syringe
Copaxone,20 mg/ml solution for  injection in pre-filled syringe
Copegus,200 mg film - coated tablets
Co-Prenessa,"2 mg/0,625 mg tablets"
Co-Prenessa,"4 mg/1,25 mg tablets"
Co-Prenessa,"8 mg/2,5 mg tablets"
Corabace,20 mg film - coated  tablets
Corabace,10 mg film - coated  tablets
Corabace  - Co,"10 mg/12,5 mg film -  coated tablets"
Corabace  - Co,"20 mg/12,5 mg film -  coated tablets"
Coracor,"5 mg, 10 mg, 20 mg  tablets"
Cordacare,10 mg tablets
Cordacare,20 mg tablets
Cordacare  Plus,"10 mg/12,5 mg tablets"
Cordacare  Plus,"20 mg/12,5 mg tablets"
Cordaflex,20 mg prolonged -  release tablets
Cordaflex  10 mg,tabl. film 10 mg x 100
Cordarone,200 mg tablets
Cordarone,150 mg/3 ml solution for  injection
Cordibenz  Plus,"10 mg/12,5 mg film -  coated tablets"
Cordibenz  Plus,20 mg/25 mg film -  coated tablets
Co-Renapril,tabl. 20 mg/6 mg x 14; x  28
Co-Renapril,"20 mg/12,5 mg tablets"
Co-Renitec,"20 mg/12,5 mg tablets"
Corinfar,20 mg prolonged -  release tablets
Corinfar  10 Retard,tabl. prolong 10 mg ?  30; ? 50; ? 100
Corinfar  20 Retard,tabl. prolong 20 mg x  30; x 50; x 100
Coripren,tabl. film 10 mg\10 mg x  7; x 14; x 28; x 30; x 35; x 42; x 50; x 56; x 90; x 98; x 100
Coripren,tabl. film 20 mg\10 mg x  7; x 14; x 28; x 30; x 35; x 42; x 50; x 56; x 90; x 98; x 100
Corledin,"7,5 mg film - coated  tablets"
Cormagnesin  200,"2047,5 mg/10 ml solution  for injection"
Cormagnesin  400,4095 mg/10 ml solution  for injection
Corneregel,5 % eye gel
Cornusan,10 mg/10 mg tablets
Cornusan,10 mg/20 mg tablets
Cornusan,10 mg/40 mg tablets
Cornusan,10 mg/80 mg tablets
CoroAss,300 mg gastro -  resistant tablets
CoroASS,100 mg gastro -  resistant tablets
Coronal,10 mg film - coated  tablets
Coronal,5 mg film - coated  tablets
Coronal  10,tabl. film 10 mg x 10; x  30; x 60; x 100
Coronal  5,tabl. film 5 mg x 10; x  30; x 60; x 100
Co-Roswera,5 mg/10 mg film - coated  tablets
Co-Roswera,10 mg/10 mg film -  coated tablets
Co-Roswera,15 mg/10 mg film -  coated tablets
Co-Roswera,20 mg/10 mg film -  coated tablets
Co-Roswera,40 mg/10 mg film -  coated tablets
Corpril,"tabl. film 1,25 mg x 30"
Corpril,tabl. film 10 mg x 30
Corpril,"tabl. film 2,5 mg x 30"
Corpril,tabl. film 5 mg x 30
Corsodyl  Mint,"0,2 g/100 ml oromucosal  solution"
Cortiment,9 mg prolonged - release  tablets
Cortimycin,cream - 15 g
Cortimycin,oint. - 10 g
Cortimycin,oint. eye - 5 g
Cortimycin,"10 mg/g + 3,5 mg/g cream"
Cortimycin,25 mg/g + 25 mg/g  ointment
Cortineff,"0,1 mg tablets"
Corvitol,100  mg tablets
Corvitol,50  mg tablets
Coryol,"3,125 mg tablets"
Coryol,"6,25 mg tablets"
Coryol,"12,5 mg tablets"
Coryol,25 mg tablets
Coryzalia,oral solution in single  - dose container
Coryzalia,coated tablets
Co-Sartoval,160 mg/25 mg film - coated  tablets
Co-Sartoval,"80 mg/12,5 mg film -  coated tablets"
Cosmegen,"powd. inf. 0,5 mg x 1"
CosmoFer,50 mg/ml solution for  injection/infusion
Cosopt,"2%/0,5% eye drops,  solution"
Cosopt  Imulti,"20 mg/ml + 5 mg/ml eye drops,  solution"
Cosopt  PF,"20 mg/ml + 5 mg/ml eye  drops, solution in single - dose container"
Costi,10 mg tablets
Cotini  Folium,herbal drug - 50 g
Cotini  Folium,herbal drug - 50 g
Cotini  Folium,herbal drug - 50 g
Cotini  Folium,herbal drug - 50 g; 80  g; 100 g
Co-Valsacor,"80 mg/12,5 mg film - coated  tablets"
Co-Valsacor,"160 mg/12,5 mg film - coated  tablets"
Co-Valsacor,160 mg/25 mg film - coated  tablets
Co-Valsacor,"320 mg/12,5 mg film - coated  tablets"
Co-Valsacor,320 mg/25 mg film - coated  tablets
Co-Valsar,tabl. film 160 mg/25 mg  x 1; x 10; x 14; x 15; x 20; x 28; x 30; x 50; x 56; x 60; x 90; x 98; x 100;  x 280
Co-Valsar,"tabl. film 80 mg/12,5 mg  x 1; x 10; x 14; x 15; x 20; x 28; x 30; x 50; x 56; x 60; x 90; x 98; x 100;  x 280"
Coverex,tabl. 4 mg x 30
Coxi,"200 mg capsule, hard"
COXIENT,120 mg film - coated  tablets
COXIENT,60 mg film - coated  tablets
COXIENT,90 mg film - coated  tablets
Coxtral,100 mg tablets
Cozaar,"powd.  2,5 mg/ml"
COZAAR,"12,5 mg film - coated  tablets"
Cozaar,"2,5 mg film - coated  tablets"
Cozaar,50 mg film - coated  tablets
Cralonin,drops x 30 ml
Cralonin,"70 g/1g/1g/100g oral  drops, solution"
Crestor,5 mg film - coated  tablets
Crestor,10 mg film - coated  tablets
Crestor,20 mg film - coated  tablets
Cricea,"3 mg/0,02 mg film - coated  tablets"
Crinone,80 mg/g vaginal gel
Critipime,1 g powder for solution  for injection/infusion
Cromorom  Adipharm,eye drops sol. 2 % - 10  ml.
Cromorom  Adipharm,"2 % eye drops, solution"
Crusia,"2 000 IU (20 mg)/0,2 ml  solution for injection in pre - filled syringe"
Crusia,"4 000 IU (40 mg)/0,4 ml  solution for injection in pre - filled syringe"
Crusia,"6 000 IU (60 mg)/0,6 ml  solution for injection in pre - filled syringe"
Crusia,"8 000 IU (80 mg)/0,8 ml  solution for injection in pre - filled syringe"
Crusia,10 000 IU (100 mg)/1 ml  solution for injection in pre - filled syringe
Crypineo,"3 mg/0,03 mg film - coated  tablets"
Cuprenil,250 mg film - coated  tablets
Curam,"powd. 156,25 mg/5 ml -  60 ml; 100 ml"
Curam,"powd. 312,5 mg/5 ml - 60  ml; 100 ml"
Curam,tabl. film 625 mg x 12;  x 15; x 16; x 20; x 30; x 100
Curam,tabl. film coat. 1 000  mg
Curosurf,80 mg/ml  endotracheopulmonary instillation suspension
Cusicrom,"4 % eye drops, solution"
Cusicrom  4%,spray nasal 40 mg/ml -  15 ml
Cusimolol,"0,5% eye drops, solution"
"Cusimolol  0,25%","0,25% eye drops,  solution"
