Product,Strength
Bonefos,suspension for injection  in pre - filled syringe
Bonefurbit,suspension for injection  in pre - filled syringe
Boostrix,"3,5 mg powder for  solution for injection"
Boostrix,"3,5 mg powder for  solution for injection"
Boostrix Polio,"3,5 mg powder for  solution for injection"
Bortega,"3,5 mg powder for  solution for injection"
Bortezamib  Actavis,"3,5 mg powder for  solution for injection"
Bortezocon,1 mg powder for solution  for injection
Bortezomib  - Tchaikapharma,"3,5 mg powder for  solution for injection"
Bortezomib  Actavis,"3,5 mg powder for sol."
Bortezomib Krka,"3,5 mg powder for  solution for injection"
Bortezomib Krka,"3,5 mg powder for  solution for injection"
Bortezomib  Synthon,"3,5 mg powder for  solution for injection"
Bortezomib  Teva,125 mg film - coated  tablets
Bortezomid  Pharmazac,"62,5 mg film - coated tablets"
Bortezomid  Sandoz,"62,5 mg film - coated  tablets"
Bosentan  Accord,125 mg film - coated  tablets
Bosentan  Accord,"62,5 mg film - coated  tablets"
Bosentan  Sandoz,125 mg film - coated  tablets
Bosentan  Sandoz,125 mg film - coated  tablets
Bosentan  SDZ,"62,5 mg film - coated  tablets"
Bosentan  SDZ,"200 Allergan Units,  powder for solution for injection"
Bosentan  Welding,"50 Allergan Units,  powder for solution for injection"
Bosentan  Welding,"100 Allergan Units,  powder for solution for injection"
Botox,20 mg/ml solution for  injection in pre - filled syringe
Botox,"10 micrograms per  delivered dose inhalation powder, hard capsule"
Botox,100 mg hard capsules
Brabio,140 mg hard capsules
Braltus,180 mg hard capsules
Brastoryn,20 mg hard capsules
Brastoryn,250 mg hard capsules
Brastoryn,5 mg hard capsules
Brastoryn,"sol. cut. 7,5 g/100 g  (iodine 10%) - 250 ml; 100 ml; 1 000 ml"
Brastoryn,"7,5 g/100 g cutaneous  solution"
Brastoryn,pess. 200 mg x 14
Braunol,10% oinment
Braunol,"impregn. dress. 10% -  7,5/10 cm; 10/20 cm"
Braunovidon,powder and solvent for  solution for injection
Braunovidon,5 mg tablets
Braunovidon  Ointment Gauze,1200 microgram buccal  film
Bravelle  75 IU,800 micrograms buccal  film
Bravylol,600 micrograms buccal film
Breakyl,400 micrograms sublingual  tablets
Breakyl,200 micrograms sublingual  tablets
Breakyl,"200, 400, 600, 800  microgram buccal film"
Breakyl,5 mg film-coated tablets
Breakyl,"7,5 mg film - coated tablets"
Breakyl  Start,"2,5 mg/ml oral drops,  solution"
Brediwal,2.5 mg film-coated  tablets
Brediwal,100 mg film - coated  tablets
Brelax,150 mg film - coated  tablets
Breletroz,200 mg film - coated  tablets
Brevenox,25 mg film - coated  tablets
Brevenox,"powd. inh. ? 0,25 mg; ?  0,5 mg"
Brevenox,25 mg  hard capsules
Brevenox,100 mg hard capsules
Bricanyl  Turbuhaler,200 mg  hard capsules
Brieka,225 mg  hard capsules
Brieka,50 mg  hard capsules
Brieka,75 mg hard capsules
Brieka,150 mg hard capsules
Brieka,300 mg hard capsules
Brieka,2 mg/ml eye drops  solution
Brieka,2 mg/ml eye drops  solution
Brieka,"0,2% eye drops"
Briglau,"drops eye 0,2 % - 5 ml x  1; x 3; x 6"
Brimogen,2mg/ml + 5mg/ml eye  drops
Brimonidine  Tartrate Teva,"0,1 mg /0,5 mg. coated tablets"
Brimonidine  Tartrate Teva,tabl. coat. x 30
Brimonidine Tartrate/Timolol  Teva,"10 mg/ml eye drops,  suspension"
Brinerdin,"10 mg/ml eye drops,  suspension"
Brinerdin,"10 mg/ml eye drops,  suspension"
Brinzolamide  Actavis,125 mg tablets
Brinzolamide Sandoz,"10 mg/ml eye drops,  suspension"
Britil,"2,5 mg/ml oral drops,  solution"
Brivir,tabl. 3 mg x 20; x 30
Brizadopt,4 mg coated tablets
Bromarex,8 mg tablets
Bromazepam-Tchaikapharma,2 mg/ml solution for  injection
Bromhexin  Actavis,4 mg/5 ml syrup
Bromhexin  Actavis,8 mg tablets
Bromhexine  Sopharma,"2,5 mg tablets"
Bromhexine  SOPHARMA,"tabl. 2,5 mg x 30; x 50"
Bromhexine  SOPHARMA,"2,5 mg tablets"
Bromocriptine  Medochemie,"tabl. 2,5 mg x 30"
Bromocriptine  NIHFI,tabl. x 50
Bromocriptine  Sopharma,"7,5 mg/5 ml syrup"
"Bromocriptin-Richter  2,5 mg",loz. 100 mg x 20; x 50
Bronchalis-Heel,"11,25 mg compressed  lozenges"
Bronchetamin,syr. - 130 g
Bronchicum,syr. - 130 g
Bronchicum,"5,0 g/2,5 g/100 g syrup"
Bronchicum  Elixir,draw pastillen
Bronchicum  Elixir S,4 mg chewable tablets
Bronchicum  Elixir S,5 mg chewable tablets
Bronchicum  Pastillen,10 mg chewable tablets
Bronchikast,syr. 125 g x 30
Bronchikast,film - coated tablets
Bronchikast,syr. - 125 g
Bronchinol,"7 mg capsules, hard"
Bronchipret,"3,5 mg capsules, hard"
Bronchitussen  Vramed,"3,5 mg powder for oral  solution"
Broncho  - Vaxom Adults,"5,75 mg/4,60 mg/5 ml syrup"
Broncho  - Vaxom Children,"gran. - 1,84 g x 10"
Broncho  - Vaxom Children,syr. - 125 g
Bronchocin,"powd. syr. 6,5 g x 50"
Bronchocin  Dietary Granules,"powd. syr. 6,5 g x 50"
Bronchocin  Dietary Syrup,syr. x 125 g
Broncholirol,"5,75 mg/4,6 mg/5 ml  syrup"
Broncholirol  P,"syr. 5,75 mg/5,0 mg/5 ml  - 110 ml"
Broncholytin,15 mg/5 ml syrup
Broncholytin,30 mg/5 ml syrup
Broncholytin  Neo,syr. ? 125 ml
BronchoMAXX,"0,32 g/0,32 g/g  oromucosal spray, solution"
BronchoMAXX,"0,77 g/0,66 g/5 ml syrup"
Bronchosevt,"59,5 mg pastilles"
Bronchostop,"51,1 mg/4,5 mg pastilles"
Bronchostop,"0,12 g/0,83 g/15 ml oral  solution"
Bronchostop,"0,12 g /1,28 g/ 15g oral  solution"
Bronchostop  Duo,syr - 125 g
Bronchostop  Sine,"4,6 mg/5,75 mg/5 ml  syrup"
Bronchostop  SNIE,caps. 7 mg x 30
Bronchoton,"caps. 3,5 mg x 10; x 30"
Bronchoton,"powd. 3,5 mg"
Broncho-Vaxom  Adults,"sachet 3,5 mg x 10; x 30"
Broncho-Vaxom  Children,syr. - 125 g
Broncho-Vaxom  Children,tablets
Broncho-Vaxom  Children,200 mg powder for oral  solution in sachet
Bronchozolin,600 mg powder for oral  solution in sachet
Bronhalis - Heel,"375 mg capsules, hard"
Bronhosolvan,20 mg/ml oral suspension
Bronhosolvan,200 mg effervescent  granules
BRONLES,400 mg effervescent  granules
Brufen,400 mg/30 mg film -  coated tablets
Brufen,40 mg/ml oral suspension
Brufen,800 mg prolonged -  release tablets
Brufen  Codeine,tabl. 150 mg/120 mg/30  mg x 50
Brufen  Forte,2 mg/puff rectal foam
Brufen  Retard,3 mg gastro - resistant  capsules
Bryaconeel,9 mg gastro-resistant  granules
Budenofalk,0.5 mg/ 2 ml nebuliser  suspension
Budenofalk,0.5 mg/2 ml neduliser  suspension
Budenofalk  Uno,320 mcg/9 mcg  inhalations powder
Budesonide  Teva,160 mcg/4.5 mcg  inhalation powder
Budesonide  Wyvern,80 mcg/4.5 mcg  inhalations powder
Budfor,"200 micrograms/dose  pressurised inhalataion, solution"
Budfor,"sol. inh. 0,2 mg/dose -  200 doses"
Budfor,"80 micrograms/4,5  micrograms/inhalation, inhalation powder"
Budiair Jet,"80 micrograms/4,5  micrograms/inhalation, inhalation powder"
Budiair  MDI,"320 micrograms/9  micrograms/inhalation, inhalation powder"
BUFAR  Easyhaler,"160 micrograms/4,5  micrograms/inhalation, inhalation powder"
Bufomix  Easyhaler,"2 mg/0,5 mg sublingual  tablets"
Bufomix  Easyhaler,8 mg/2 mg sublingual  tablets
Bufomix  Easyhaler,"0,33 mg/ml oral solution"
Bulnexo,"2,5 mg/ml solution for  injection"
Bulnexo,5 mg/ml solution for  injection
Bulzine,"2,5 mg/ml solution for  injection"
Bupivacaine  Accord,5 mg/ml solution for  injection
Bupivacaine  Accord,5 mg/ml solution for  injection
Bupivacaine Accord,"0,4 mg sublingual  tablets"
Bupivacaine Accord,"0,4 mg sublingual  tablets"
Bupivacaine  Grindeks,2 mg sublingual tablets
Buprenorfin  Actavis,"0,4 mg sublingual  tablets"
Buprenorfin  Actavis,35 micrograms/h  transdermal patch
Buprenorfin  Actavis,70 microgms/h  transdermal patch
Buprenorphin  Actavis,"52,5 microgms/h  transdermal patch"
Buprenorphin  Actavis,8 mg sublingual tablets
Buprenorphin  Actavis,4 mg sublingual tablets
Buprenorphin  Actavis,2 mg sublingual tablets
Buprenorphin  G.L.,"tabl. sub. 0,4 mg x 7; x  28; x 70"
Buprenorphin  G.L.,tabl. sub. 2 mg x 7; x  28; x 70
Buprenorphin  G.L.,tabl. sub. 8 mg x 7; x  28; x 70
Buprenorphine  Alkaloid,35 microgram/hour  transdermal patch
Buprenorphine  Alkaloid,"52,5 microgram/hour  transdermal patch"
Buprenorphine  Alkaloid,70 microgram/hour  transdermal patch
Buprenorphine  Sandoz,tabl. coat. 10 mg x 20;  x 800
Buprenorphine  Sandoz,20 mg/ml solution for  injection
Buprenorphine  Sandoz,tabl. coat. 10 mg x 20
Buscolysin,20 mg/ml solution for  injection
Buscolysin,supp. 10 mg x 6
Buscomed,10 mg coated tablets
Buscopamine,"susp. inh. pres. 0,1  mg/dose - 200 doses"
Buscopan,"1,25 mg film - coated  tablets"
Buscopan,"2,5 mg film - coated  tablets"
Buto-Asma,5 mg film - coated  tablets
Byol,
Byol,
Byol,
,описание:
"Одобрени КХП на лекарствени продукти, разрешени за употреба в Р.  България",
,10 mg/ml concentrate for  solution for infusion
търговско  наименование:,5 mg/10 mg film - coated  tablets
,10 mg/10 mg film - coated  tablets
Cabazitaxel  Teva,200 mg film - coated  tabets
Caduet,film - coated tablets
Caduet,"1000 mg/12,2 mg powder  for oral solution"
Cafetin  Menstrual,tablets
Caffetin  Cold,200 mg film - coated  tablets
Caffetin COLDmax,250 mg/210 mg/50 mg  tablets
Caffetin  Forte,tabl
Caffetin  Menstrual,tabl.
Caffetin SC,10 mg/ml solution for  injection/infusion
Calcium  Fluoratum D12,10 mg/ml sol. for  infusion
Calcium  Fluoratum D6,10 mg/ml solution for  injection/infusion
Calcium  folinate Actavis,"sol. inj. 12,7 mg/ml -  10 ml x 1; 20 ml x 1; 50 ml x 1; 100 ml x 1"
Calcium  Folinate ESP Pharma,"95,5 mg/ml slution for  injection"
Calcium  Folinate Sandoz,95 mg/ml slution for  injection
Calcium  Folinate Stada,95 mg/ml slution for  injection
Calcium Gluconate Farmak,sol. inj. 10 ml x 5; x  50
Calcium  Gluconate Hameln,"sol. inj. 8,94 mg/ml -  10 ml x 5; x 50"
Calcium Gluconate S.MED,tabl. eff. 2 000 mg x 10
Calcium  Gluconicum,"8,94 mg/ml solution for  injection"
Calcium  Gluconicum,tabl. film - 3 x 10
Calcium  Gluconicum,tabl. eff. 500 mg x 10;  x 20
Calcium  Gluconicum Sopharma,caps. 15 mg x 20
Calcium  Phospho C,conc. inf. 10 mg/ml - 3  ml x 5; 5 ml x 5; 10 ml x 5
Calcium  Sandoz Forte,600 mg/400 IU film - coated  tablets
Calciumfolinat  Ebewe,herbal tea - 30 g; 40 g;  50 g
Calciumfolinat  Ebewe,"0,1 g/0,33 g/100 g  gingival gel"
CalciviD,"powder for suspension  11,25 mg"
Calendulae  Flos,"spray nas. 150 mcg/dose  - 4,2 ml"
Calgel,10 mg film - coated  tablets
Calgevax,20 mg film - coated  tablets
Calidiol,40 mg film - coated tablets
Calipra,80 mg film - coated tablets
Calipra,syrup
Calipra,50 mg coated tablets
Calipra,"oral drops, solution"
Callergin,250 mg/5 ml oral  suspension
Calmaben,120 mg/5 ml oral  suspension
Calmo - Heel,100 mmol/1 solution for  infusion
Calpol,tabl. film 50 mg x 15
Calpol,50 mg film - coated  tablets
Calrecia,600 mg/400 IU film -  coated tablets
Calumid,50 mg/ml solution for  injection
Calutide,oral  solution
Calvicid,"0,5 mg soft capsules"
Calypsol,"sol. cut. - 100 ml; 0,8  kg"
Camilia,20 mg/ml concentrate for  solution for infusion
Caminard,4 mg tablets
Camphorae  Spiritus,16 mg tablets
Campto,32 mg tablets
Candecard,8 mg tablets
Candecard,"16 mg/10 mg capsules, hard"
Candecard,"16 mg/5 mg capsules, hard"
Candecard,"8 mg/10 mg capsules, hard"
Candecard  Duo,"8 mg/5 mg capsules, hard"
Candecard  Duo,"16 mg/12,5 mg tablets"
Candecard  Duo,"8 mg/12,5 mg tablets"
Candecard  Duo,"8 mg/ 12,5 mg tablets"
Candecard  H,32 mg tablets
Candecard  H,8 mg tablets
Candecard  HCT,16 mg tablets
Candecon,2 mg tablets
Candecon,8  mg tablets
Candecon,16  mg tablets
Candegamma,32  mg tablets
Candegamma,4 mg tablets
Candegamma,"8 mg/12,5 mg tablets"
Candegamma,"16 mg/12,5 mg tablets"
Candegamma,"32 mg/12,5 mg tablets"
Candersartan  HCT Actavis,32 mg/25 mg tablets
Candersartan  HCT Actavis,4 mg tablets
Candersartan  HCT Actavis,16 mg tablets
Candersartan  HCT Actavis,16  mg tablets
Candertan,32  mg tablets
Candertan,4  mg tablets
Candesagen,8 mg tablets
Candesagen,8 mg tablets
Candesagen,16 mg tablets
Candesagen,32 mg tablets
Candesartan  Actavis,8 mg tablets
Candesartan  Actavis,16 mg tablet
Candesartan  Actavis,32 mg tablet
Candesartan  Ecopharm,"8 mg/12,5 mg tablets"
Candesartan  Ecopharm,"32 mg/12,5 mg tablets"
Candesartan  Ecopharm,32 mg/25 mg tablets
Candesartan  HCT Actavis,"16 mg/12,5 mg tablets"
Candesartan  HCT Actavis,"16 mg/12,5 mg tablets"
Candesartan  HCT Actavis,"32 mg/12,5 mg tablets"
Candesartan  HCT Actavis,"8 mg/12,5 mg tablets"
Candesartan  HCT Aurobindo,32 mg/25 mg tablets
Candesartan  HCT Aurobindo,"16 mg/12,5 mg tablets"
Candesartan  HCT Aurobindo,32 mg/25 mg tablets
Candesartan HCT Aurobindo,8 mg/16 mg/12.5 mg  tablets
Candesartan  HCT Jubilant,8 mg/16 mg/12.5 mg  tablets
Candesartan  HCT Jubilant,8 mg; 16 mg; 32 mg;  tablets
Candesartan  HCT Аctavis,32 mg tablets
Candesartan  Rathiopharm,8 mg tablets
Candesartan  Аctavis,16 mg tablets
Candestar,"8 mg/12,5 mg tablets"
Candestar,"16 mg/12,5 mg tablets"
Candestar,"8 mg/5 mg capsules, hard"
Candestar  H,"8 mg/10 mg capsules, hard"
Candestar  H,"16 mg/5 mg capsules,  hard"
Candezek  Combi,"16 mg/10 mg capsules, hard"
Candezek  Combi,18 mg/18 mg/18 mg  coated tablets
Candezek  Combi,coated tablets
Candezek  Combi,1% cutaneous solution
Canephron,1% cream
Canephron Forte,500 mg soft vaginal  capsule
Canespor,1 % cream
Canespor,200 mg vaginal tablets
Canesten,tabl. vag. 500 mg x 1
Canesten,10 mg film - coated  tablets
Canesten GYN,20 mg film - coated  tablets
Canesten  GYN 1,16 mg tablets
Caniler,8 mg tablets
Caniler,32  mg tablets
Cantab,"32 mg/12,5 mg tablets"
Cantab,"16 mg/12,5 mg tablets"
Cantab,17 solution for  peritoneal diallysis
Cantab  Plus,18 solution for  peritoneal diallysis
Cantab  Plus,19 solution for  peritoneal diallysis
CAPD/DPCA,2 solution for  peritoneal dialysis
CAPD/DPCA,3 solution for  peritoneal dialysis
CAPD/DPCA,4 solution for  peritoneal dialysis
CAPD/DPCA,solution for peritoneal  dialysis
CAPD/DPCA,solution for peritoneal  dialysis
CAPD/DPCA,solution for peritoneal  dialysis
CAPD/DPCA  17,solution for peritoneal  dialysis
CAPD/DPCA 18,solution for peritoneal  dialysis
CAPD/DPCA  19,150 mg film - coated  tablets
CAPD/DPCA 3,500 mg film - coated  tablets
CAPD/DPCA 4,150 mg film - coated  tablets
Capecitabine  Actavis,500 mg film - coated  tablets
Capecitabine  Actavis,150 mg film - coated  tablets
Capecitabine  Cipla,500 mg film - coated  tablets
Capecitabine  Cipla,150 mg film - coated  tablets
Capecitabine  Fair - Med,500 mg film - coated  tablets
Capecitabine  Fair - Med,150 mg film - coated  tablets
Capecitabine Glenmark,500 mg film - coated  tablets
Capecitabine Glenmark,150 mg film - coated  tablets
Capecitabine  Medico Uno,500 mg film - coated  tablets
Capecitabine  Medico Uno,150 mg film - coated  tablets
Capecitabine  Sandoz,500 mg film - coated  tablets
Capecitabine  Sandoz,150 mg film - coated  tablets
Capecitabine  Zentiva,500 mg film - coated  tablets
Capecitabine  Zentiva,"0,05% cream"
Capeda,"0,05 % cream"
Capeda,"400 mg capsules, soft"
Capsamol  Dolor,100 mg/5 ml oral  suspension
Capsicum  Renantos,200 mg/5 ml oral  suspension
Capsifen,"200 mg/6,1 mg coated  tablets"
Capsifen,500 mg/300 mg/200 mg  effervescent powder
Capsifen,pow for oral solution
Capsifen Cold & Flu,tabl. 25 mg x 40
Capsifen ColdActive Max,"tabl. 12,5 mg x 30"
Capsifen  Not Sinus,tabl. 25 mg x 30
Captopril,tabl. 50 mg x 30
Captopril  - Tchaikapharma,"tabl. 12,5 mg x 60"
Captopril  - Tchaikapharma,25  mg tablets
Captopril  - Tchaikapharma,"tabl. 12,5 mg x 30"
Captopril  NIHFI,tabl. 25 mg x 30
Captopril  Sopharma,tabl. 50 mg x 20
Captopril-Egis,16 mg/10 mg tablets
Captopril-Egis,8 mg/5 mg tablets
Captopril-Egis,200  mg tablets
Caramlo,powd. inj. - 1 g
Caramlo,powd. - 10 g
Carbamazepin  Actavis,tabl. x 10
Carbenicillin,10 mg/ml concentrate for  solution for infusion
Carbo  Activatus,10 mg/ml concentrate for  solution for infusion
Carbo  Activatus,10 mg/ml concentrate for  solution for infusion
"Carboplatin  ""Ebewe""",10 mg/ml conc. for sol.  for infusion
Carboplatin  Actavis,250 mg tablets
Carboplatin-Teva,10 mg/10 mg tablets
Carbosol,10 mg/20 mg tablets
Carbosorb,10 mg/40 mg tablets
Cardecta,10 mg/80 mg tablets
Cardecta,8 mg tablets
Cardecta,32 mg tablets
Cardecta,tabl.  4 mg
Cardertan,16 mg tablets
Cardertan,32 mg tablets
Cardesart,8 mg tablets
Cardesart,"16 mg/12,5 mg tablets"
Cardesart,"8 mg/12,5 mg tablets"
Cardesart,"5 mg, 10 mg tablets"
Cardesart-Co,5 mg tablets
Cardesart-Co,10 mg tablets
Cardifrend,"2,5 mg/12 mg tablets"
Cardifriend,5 mg/25 mg tablets
Cardifriend,"5 mg/12,5 mg tablets"
Cardifriend - Co,75 mg gastro - resistant  tablets
Cardifriend - Co,100 mg gastro - resistant  tablets
Cardifriend-Co,5 mg tablets
Cardiopirin,"5 mg/12,5 mg film - coated  tablets"
Cardiopirin,powd. inf. 500 mg
Cardiostad,tabl. film 80 mg x 50; x  100
Cardiostad  Plus,25 mg film - coated  tablets
Cardioxane,50 mg film - coated  tablets
Cardiplant,1  mg tablets
Carditrust,2  mg tablets
Carditrust,4  mg tablets
Cardura,tabl. modif. 4 mg x 28
Cardura,tabl. modif. 8 mg x 28
Cardura,"6,25 mg/7,5 mg film -  coated tablets"
Cardura  XL,"12,5 mg/5 mg film -  coated tablets"
Cardura  XL,"12,5 mg/7,5 mg film -  coated tablets"
Carivalan,25 mg/5 mg film - coated  tablets
Carivalan,"25 mg/7,5 mg film -  coated tablets"
Carivalan,"6,25 mg/5 mg film -  coated tablets"
Carivalan,drops - 30 ml
Carivalan,"oral drops,  solution/cutaneous solution/inhalation vapour, solution"
Carivalan,sol. cut. - 250 ml
Carminativum  Babynos Colic Drops,caps. 100 mg x 30
Carmolis,tabl. x 80
Carmolis  Fluid,"22,5 mg coated tablets"
Carsil,"90 mg capsules, hard"
Carsil,"110 nig capsules, hard"
Carsil,"6.25 mg, 25 mg tablets"
Carsil,25 mg film - coated  tablets
Carsil Мах,"6,25 mg film - coated  tablets"
Carvecare,"12,5 mg film - coated  tablets"
Carvedigamma,"tabl. 3,125 mg x 28"
Carvedigamma,"6,25 mg tablets"
Carvedigamma,"12,5 mg tablets"
Carvedil,25 mg tablets
Carvedil,"tabl. film. 12,5 mg x  10; x 14; x 28; x 30; x 50; x 56; x 60; x 98; x 100"
Carvedil,tabl. film. 25 mg x 10;  x 14; x 28; x 30; x 50; x 56; x 60; x 98; x 100
Carvedil,"tabl. film. 3,125 mg x  10; x 14; x 28; x 30; x 50; x 56; x 60; x 98; x 100"
Carvedilol  - Ratiopharm,"tabl. film. 6,25 mg x  10; x 14; x 28; x 30; x 50; x 56; x 60; x 98; x 100"
Carvedilol  - Ratiopharm,"6,25 mg tablets"
Carvedilol  - Ratiopharm,"12,5 mg tablets"
Carvedilol  - Ratiopharm,25 mg tablets
Carvedilol  Grindeks,"3,125 mg tablets"
Carvedilol  Medica,"6,25 mg tablets"
Carvedilol  Medica,"6,25 mg tablets"
Carvedilol  Medica,"12,5 mg tablets"
Carvedilol  Medica,25 mg tablets
Carvedilol  Sopharma,"3,125 mg tablets"
Carvedilol  Sopharma,3.125 mg; 6.25 mg;  12.5.mg; 25 mg tablets
Carvedilol  Sopharma,"tabl. 3,125 mg x 28; x  30"
Carvedilol  Sopharma,"12,5 mg tablets"
Carveheal,25 mg tablets
Carvetrend,"6,25 mg tablets"
Carvetrend,"6,25 mg tablets"
Carvetrend,"12,5 mg tablets"
Carvetrend,25 mg tablets
Carvilex,4 mg tablets
Carvilex,8 mg tablets
Carvilex,32 mg tablets
Carzap,16  mg tablets
Carzap,"8 mg/ 12,5 mg tablets"
Carzap,"16 mg/12,5 mg tablets"
Carzap,50 mg film - coated tablets
Carzap  H,50 mg powder for  concentrate for solution for infusion
Carzap  H,70 mg powder for  concentrate for solution for infusion
Casodex,50 mg powder for  concentrate for solution for infusion
Caspofungin  Sandoz,70 mg powder for  concentrate for solution for infusion
Caspofungin  Sandoz,tabl. coat. 25 mg x 20
Caspofungin  Xellia,tabl. coat. 50 mg x 10
Caspofungin  Xellia,drops eye (1 tabl. +  solvent 15 ml) - 15 ml
Cataflam,"20 mg/g + 0,5 mg/g gel"
Cataflam,"dental paste - 6,5 g"
Catalin  Ophthalmic Solution,5 mg/ml solution for  infusion
Cathejell  with Lidocain,5 mg tablets
Caustinerf  Arsenical,10 mg tablets
Cavinton,500 mg effervescent  tablets
Cavinton,125 mg/5 ml powder for  oral suspension
Cavinton  Forte,500 mg effervescent  tablets
Cec,250 mg/5 ml powder for  oral suspension
Cec,caps. 250 mg x 12; x 15
CEC  500,caps. 500 mg x 12; x 15
CEC  Forte,gran. 125 mg/5 ml - 60  ml; 75 ml; 100 ml
Ceclor,gran. 250 mg/5 ml - 60  ml; 75 ml; 100 ml
Ceclor,tabl. prolong 375 mg x  10
Ceclor,tabl. prolong 500 mg x  10
Ceclor,36 mg/ml powder for oral  suspension
Ceclor  MR,"400 mg capsules, hard"
Ceclor  MR,drops 70 g/100 g x 50  ml; x 100 ml
Cedax,oint. x 25 g; 50 g; 100  g
Cedax,tabl. film 200 mg x 50;  x 100
Cefabene,50 g/21g/100 g oral  drops solution
Cefabene,gran. 125 mg/5 ml - 100  ml
Cefabene,"500 mg hard, capsules"
Cefabronchin,125 mg/5 ml granules for  oral suspension
Cefaclor  AL TS 125,250 mg/5 ml granules for  oral suspension
Cefaclor  Alkaloid,drops - 50 ml; 100 ml
Cefaclor  Alkaloid,tabl. x 100; x 200
Cefaclor  Alkaloid,25 mg tablets
Cefagil,caps. x 50; x 100
Cefagil,oral drops - 50 ml; 100  ml
Cefagil,caps. 250 mg x 12; x 16;  x 20; x 28; x 200; x 500
Cefakliman,caps. 250 mg x 12; x 16;  x 20; x 28; x 200; x 500
Cefakliman,caps. 250 mg x 20
Cefaleksin  Kalugerovo,caps. 500 mg x 12; x 16;  x 20; x 28; x 200; x 500
Cefalexin,caps. 500 mg x 20
Cefalexin,gran. 125 mg/5 ml - 60  ml
Cefalexin,caps. 250 mg x 12; x 16;  x 20
Cefalexin,caps. 500 mg x 12; x 16;  x 20
Cefalexin,tabl. prolong 375 mg x  10
Cefalexin  Kalugerovo,tabl. prolong 750 mg x  10
Cefalexin  Kalugerovo,powd. inj. 1 g x 10
Cefalexin  SR Actavis,powd. inj. 1 g x 10
Cefalexin  SR Actavis,drops - 50 ml; 100 ml
Cefalotin,250 mg tablets
Cefalotin  Actavis,powd. inj. 1 g x 10
Cefamadar,powd. inj. 2 g x 10
Cefamadar,powd. inj. 1 g x 10
Cefamandol  Actavis,powd. inj. 2 g x 10
Cefamandol  Actavis,drops 100 mcg/g - 50 ml;  100 ml
Cefamandole,sol. inj. 100 mcg/ml - 1  ml x 10; x 50; x 100
Cefamandole,100 micrograms tablets
Cefasel,105 mg film - coated  tablets
Cefasel,tabl. eff. x 20; x 40; x  80
Cefasel,tabl. eff. x 10; x 20; x  40
Cefasilymarin,powd. inj. 1 g
Cefatec,"oral drops, solution"
Cefatox,tablets
Cefatrexyl,powd. inj. 500 mg x 10
Cefavora,2000 mg powder for  solution for injection/infusion
Cefavora,1 g powder for solution  for injection
Cefazolin,2 g powder for solution  for injection
Cefazolin  - MIP,l g powder for solution  for injection
Cefazolin  ABR,1 g powder for solution  for injection or infusion
Cefazolin  Actavis,2 g powder for solution  for injection or infusion
Cefazolin Actavis,2 g powder for solution  for injection
Cefazolin Hospira,1 g powder for solution  for injection
Cefazolin Hospira,powd. inj. 1 g - 15 ml x  50
Cefazolin  Panpharma,powd. inj. 2 g - 30 ml x  50
Cefazolin  Panpharma,2 g powder for solution  for injection/infusion
Cefazolin  Sandoz,1 g powder for solution  for injection/infusion
Cefazolin  Sandoz,1 g powder for solution  for injection for infusion
Cefepim MIP,2 g powder for solution  for injection for infusion
Cefepim MIP,1 g powder for solution  for injection or infusion
Cefepime  Hospira,1000 mg powder for  solution for injection/infusion
Cefepime  Hospira,2000 mg powder for  solution for injection/infusion
Cefepime Kabi,500 mg powder for  solution for injection/infusion
Cefepime  Panpharma,1 g powder for solution  for injection/infusion
Cefepime  Panpharma,2 g powder for solution  for injection/infusion
Cefepime  Tenamyd,2 g powder for solution  for injection/infusion
Cefepime  Tenamyd,1 g powder for solution  for injection/infusion
Cefepime  Tenamyd,100 mg/5 ml powder for  oral suspension
Cefepim-MIP,400 mg film - coated  tablets
Cefepim-MIP,100 mg/5 ml powder for  oral suspension
Cefixim  Actavis,100 mg/ 5 ml powder for  oral suspension
Cefixime  ABR,400 mg film - coated  tablets
Cefixime  ABR,400 mg film - coated  tablets
Cefixime Actavis,200 mg film-coated  tablets
Cefixime  Aurobindo,l g powder for solution  for injection
Cefixime  Nectar,2 g powder for solution  for injection
Cefixime  Orchid Europe,l g powder for solution  for injection
Cefobid,1 g powder for solution  for injection/infusion
CEFOPERAZONE ABR,2 g powder for solution  for injection/infusion
CEFOPERAZONE ABR,l g powder for solution  for injection
Ceforaxime  Panpharma,1 g powder for solution  for injection/infusion
Ceforaxime  Panpharma,2 g powder for solution  for injection/infusion
Cefotaxime  ABR,1 g powder for solution  for injection
Cefotaxime Panpharma,1 g powder for solution  for injection/infusion
Cefotaxime Panpharma,2 g powder for solution  for injection/infusion
Cefotaxime-Tchaikapharma,1 g powder for solution  for injection
Cefotaxim-MIP,40 mg/5 ml granules for  oral suspension
Cefotaxim-MIP,200 mg film - coated tablets
Cefox,200 mg film - coated  tablets
Cefpodicon,40 mg/5 ml power for  oral suspension
Cefpodicon,flim-coated 200 mg
Cefpodoxime  Actavis,40 mg/5 ml powder for  oral suspension
Cefpodoxime  Actavis,40 mg/5 ml powder for  oral suspension
Cefpodoxime  ESP HARMA,20 mg film coated  tablets
Cefpodoxime  ESP HARMA,powd. inj. 1 g x 1
Cefpodoxime  ESP Pharma,powd. inj. 2 g x 1
Cefpodoxime  ESP Pharma,1 g powder for solution  for injection/infusion
